label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
atmosphere and water column exposed melt pond,A melt pond which and is exposed to the atmosphere and to a lesser degree water underlying the ice mass which contains it.,,open melt pond,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000118
mountain pass,A lower point that allows easier access through a mountain range. A pass has the general form of a saddle between two mountains.,,pass,,,saddle (physiographic)|col|sill (physiographic)|pass|defile|gap|notch|saddle,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000084
perennial snow patch,A snow patch which persists through at least one seasonal cycle.,A snow patch is defined as perennial if it survives two or more melt seasons.,perennial snowpatch,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000115
atmospheric boundary layer,"The atmospheric boundary layer is the lowest layer of an atmosphere which is strongly influenced by its contact with a planetary surface with strong vertical mixing and in which physical quantities such as flow velocity, temperature, and moisture display rapid fluctuations (turbulence).",,planetary boundary layer,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000323
rift zone,A compound astronomical body part in which extensional tectonic processes occur and where the lithosphere is being pulled apart.,,rift,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01001104
sea ice floe,"An ice floe which is formed from frozen sea water, and floats upon the surface of a marine water body.",,sea ice floes,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000066
seasonal snow patch,A snow patch which forms during a cold season and melts away during the succeeding warm season.,,seasonal snowpatch,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000114
shallow marine sediment,"Marine sediment soured from either terrestrial systems, marine organisms, seawater and or cosmogeneous sources, which is transported through the marine water column, and accumulates within shallow regions of the oceanic basin close to continents, such as the continental shelf, or continental slope.",,shallow marine sediments,,,neritic marine sediment,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000034
continental shelf,"A slope which a) extends the perimeter of a continent, b) is covered by a shallow marine water body during interglacial periods, c) has a low degree of steepness relative to a continental slope or rise.",The continental shelf is a gentle slope. This class refers to the geographical continental shelf and not the legal concept of the same name.,"shelves, continental",shelf,,platform (continental margin)|borderland (continental margin)|borderland|shelf edge (ocean),envoPolar,http://purl.obolibrary.org/obo/ENVO_00000223
grain of snow,"An ice mass which is 1) on the order of 1 milimeter or less, 2) has a white and opaque appearance, and 3) is formed as a result of water droplets freezing during precipitation.","Precipitation in the form of very small, white opaque particles of ice; the solid equivalent of drizzle. They resemble snow pellets in external appearance, but are more flattened and elongated, and generally have diameters of less than 1 mm; they neither shatter nor bounce when they hit a hard surface. Descriptions of the physical structure of snow grains vary widely and include very fine, simple ice crystals; tiny, complex snow crystals; small, compact bundles of rime; and particles with a rime core and a fine glaze coating. It is agreed that snow grains usually fall in very small quantities, mostly from stratus clouds or from fog, and never in the form of a shower.",snow grain,,,granular snow,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000138
snow field,A region of permanent snow in mountainous areas or high latitudes.,,snowfield|SNOWFIELD,,,SnowField|snowfield,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000146
snow patch,An accumulation of snow and firn which rests upon land.,,snowpatch,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000113
subpolar,"A subpolar condition is an environmental condition in which an environmental system receives low, yearly solar irradiance per unit area and is surrounded by large land masses. This results in very cold winters with temperatures potentially falling to around -40 degrees Celsius and summers which last no more than 3 months of the year with a 24-hour average temperature of at least 10 degrees Celsius.",Note that  this class refers to a climatic rather than a positional condition.,subarctic|boreal,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_01000251
subglacial lake,A lake which is situated beneath a glacier.,,subglacial lakes,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000120
sulfur cycling,A biogeochemical cycle which has sulfur-bearing chemical entities as participants.,,sulphur cycling,,,sulfur cycle,envoPolar,http://purl.obolibrary.org/obo/ENVO_01001331
supraglacial lake,A water body which is located in a depression within the surface of a glacier.,,supraglacial lakes,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000035
thaw hole,A channel which traverses an ice mass floating on a water body and bridges the atmosphere to the underlying water through its internal cavity.,,thaw holes,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_03000048
underground lake,A lake which is formed under the surface of the Earth. Such a lake may be associated with caves and aquifers and springs.,,underground lake,,,,envoPolar,http://purl.obolibrary.org/obo/ENVO_00000058
